experiment_no,metal,variant,description,source_supported,comparison,lnQ,target_lnK,lnQ_minus_target_lnK,abs_ln_residual,aqueous_charge_residual,source
1,Li,paper_eq14_with_activity_vs_paper_k,"Rezaee Eq. 14/15 exactly as implemented from the paper text, with ePC-SAFT/PC-SAFT activity coefficients.",True,paper_k,15.07400052154831,-19.52985865272526,34.603859174273566,34.603859174273566,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Na,paper_eq14_with_activity_vs_paper_k,"Rezaee Eq. 14/15 exactly as implemented from the paper text, with ePC-SAFT/PC-SAFT activity coefficients.",True,paper_k,12.9925603489414,-27.493348310803476,40.48590865974488,40.48590865974488,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Li,paper_eq14_no_activity_vs_paper_k,Same reaction quotient using mole fractions only.,False,paper_k,15.391372406279713,-19.52985865272526,34.921231059004974,34.921231059004974,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Na,paper_eq14_no_activity_vs_paper_k,Same reaction quotient using mole fractions only.,False,paper_k,15.294902432097734,-27.493348310803476,42.78825074290121,42.78825074290121,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Li,paper_eq14_aqueous_activity_only_vs_paper_k,"Aqueous activity coefficients retained, organic activity coefficients set to unity.",False,paper_k,16.06974910918505,-19.52985865272526,35.599607761910306,35.599607761910306,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Na,paper_eq14_aqueous_activity_only_vs_paper_k,"Aqueous activity coefficients retained, organic activity coefficients set to unity.",False,paper_k,16.06611783479382,-27.493348310803476,43.5594661455973,43.5594661455973,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Li,paper_eq14_organic_activity_only_vs_paper_k,"Organic activity coefficients retained, aqueous activity coefficients set to unity.",False,paper_k,14.39562381864297,-19.52985865272526,33.92548247136823,33.92548247136823,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Na,paper_eq14_organic_activity_only_vs_paper_k,"Organic activity coefficients retained, aqueous activity coefficients set to unity.",False,paper_k,12.221344946245313,-27.493348310803476,39.71469325704879,39.71469325704879,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Li,paper_eq14_with_activity_vs_inverse_k,Rezaee Eq. 14/15 quotient compared against reciprocal reported constants.,False,inverse_k,15.07400052154831,19.52985865272526,-4.455858131176949,4.455858131176949,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Na,paper_eq14_with_activity_vs_inverse_k,Rezaee Eq. 14/15 quotient compared against reciprocal reported constants.,False,inverse_k,12.9925603489414,27.493348310803476,-14.500787961862077,14.500787961862077,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
1,Li,paper_eq14_no_activity_vs_inverse_k,Mole-fraction quotient compared against reciprocal reported constants.,False,inverse_k,15.391372406279713,19.52985865272526,-4.138486246445547,4.138486246445547,-2.9999914819629943e-07,Rezaee2025_SI_TablesS1_S2
