case_id,experiment_no,T_C,pH,topo_wt_pct,na_li_mass_ratio,oh_inventory_multiplier,invert_reaction_constants,initial_Li_mol,initial_Na_mol,initial_OH_mol,Li_extraction_pct_calc,Na_extraction_pct_calc,selectivity_calc,Li_extraction_pct_exp,Na_extraction_pct_exp,selectivity_exp,Li_extraction_AARD_contribution_pct,selectivity_AARD_contribution_pct,converged,iterations,final_extent_delta,source
ideal_aqueous_table9_kij_pH_stoich,1,25.0,9.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.5111285627591876e-10,1.4943353849181516e-10,3.0188193415538196,29.69,8.32,3.57,99.9999999984806,15.439234130145104,True,1,9.999995029861807e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,2,35.0,9.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.5111285627591876e-10,1.4943353849181516e-10,3.0188193415538196,34.01,12.93,2.63,99.9999999986736,14.784005382274513,True,1,9.999995029861807e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,3,25.0,10.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.512285614339665e-10,1.49433898414029e-10,3.019586360410475,41.35,11.14,3.71,99.99999999890876,18.609532064407677,True,1,9.999950299130392e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,4,35.0,10.5,20.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.512285614339665e-10,1.49433898414029e-10,3.019586360410475,39.24,14.21,2.76,99.99999999885007,9.40530291342302,True,1,9.999950299130392e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,5,25.0,9.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.511397969480151e-10,1.494339107067492e-10,3.0189921070414663,33.03,11.3,2.92,99.99999999863415,3.3901406521050115,True,1,9.99994877140483e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,6,35.0,9.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,4.511397969480151e-10,1.494339107067492e-10,3.0189921070414663,33.22,16.54,2.01,99.99999999864198,50.198612290620225,True,1,9.99994877140483e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,7,25.0,10.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.5149796537789413e-10,1.4943762052500184e-10,3.021313935484912,44.53,11.93,3.73,99.99999999898607,18.999626394506382,True,1,9.999487719328933e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,8,35.0,10.5,40.0,10.0,1.0,False,0.1440922190201729,0.43497609741098314,0.00031622776601683794,4.5149796537789413e-10,1.4943762052500184e-10,3.021313935484912,37.79,16.85,2.24,99.99999999880524,34.88008640557641,True,1,9.999487719328933e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,9,25.0,9.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5111333419136537e-10,7.471679072845919e-11,6.037643343526784,34.95,9.61,3.63,99.99999999870926,66.32626290707394,True,1,9.999989690206682e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,10,35.0,9.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5111333419136537e-10,7.471679072845919e-11,6.037643343526784,30.0,12.73,2.36,99.99999999849629,155.83234506469427,True,1,9.999989690206682e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,11,25.0,10.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.5123334052541705e-10,7.471716403027355e-11,6.039219319707965,36.85,10.43,3.53,99.9999999987755,71.08270027501318,True,1,9.99989690314019e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,12,35.0,10.5,20.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.5123334052541705e-10,7.471716403027355e-11,6.039219319707965,39.59,16.16,2.45,99.99999999886025,146.49874774318224,True,1,9.99989690314019e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,13,25.0,9.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5114127634813875e-10,7.471717678000252e-11,6.03798612033322,37.5,10.72,3.5,99.99999999879697,72.51388915237771,True,1,9.999893734095988e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,14,35.0,9.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,4.5114127634813875e-10,7.471717678000252e-11,6.03798612033322,36.32,15.01,2.42,99.99999999875789,149.50355869145537,True,1,9.999893734095988e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,15,25.0,10.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.515127591840644e-10,7.472102450551458e-11,6.042646794152853,38.04,10.76,3.53,99.99999999881305,71.1797958683528,True,1,9.998937352023334e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,16,35.0,10.5,40.0,20.0,1.0,False,0.1440922190201729,0.8699521948219663,0.00031622776601683794,4.515127591840644e-10,7.472102450551458e-11,6.042646794152853,35.44,14.74,2.4,99.99999999872597,151.7769497563689,True,1,9.998937352023334e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,17,20.0,10.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.511770473713436e-10,9.962277782129948e-11,4.528854316636826,37.63,8.49,4.43,99.99999999880102,2.231474416181181,True,1,9.99991695287845e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,18,40.0,10.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.0001,4.511770473713436e-10,9.962277782129948e-11,4.528854316636826,31.51,13.65,2.31,99.99999999856816,96.05429942150762,True,1,9.99991695287845e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,19,30.0,9.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,1e-05,4.5110770476112634e-10,9.962237688226869e-11,4.5281764888448155,33.64,11.07,3.04,99.999999998659,48.9531739751584,True,1,9.999991695261984e-13,Rezaee2025_Table5
ideal_aqueous_table9_kij_pH_stoich,20,30.0,11.0,30.0,15.0,1.0,False,0.1440922190201729,0.6524641461164746,0.001,4.5187044834936734e-10,9.962678706633962e-11,4.535632048923501,39.9,11.32,3.52,99.9999999988675,28.853183208054013,True,1,9.99916955612368e-13,Rezaee2025_Table5
